;predicate;formula;frequency;closest_solution;solution_distance
213;this/inv9;(all ref0:(one File),ref1:(one File)|(((ref0 . (File <: link)) = (ref1 . (File <: link))) => (ref0 = ref1)));1;(all ref0:(one File)|((some (ref0 . (File <: link))) => (no ((File <: link) . ref0))));11
214;this/inv1;(none in Trash);1;(Trash in none);2
215;this/inv6;(all ref0:(one File)|(one ref1:(one File)|((ref0 . (File <: link)) = ref1)));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));6
216;this/inv6;(one (File <: link));1;((File <: link) in (File ->lone File));5
217;this/inv1;(all ref0:(one Trash)|(lone File));1;(no Trash);5
218;this/inv9;(all ref0:(one File),ref1:(one File)|((some (ref0 . (File <: link))) => ((ref0 . (File <: link)) != (ref1 . (File <: link)))));1;(all ref0:(one File)|((some (ref0 . (File <: link))) => (no ((ref0 . (File <: link)) . (File <: link)))));8
219;this/inv9;(all ref0:(one univ)|((File -> ref0) !in (File <: link)));1;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));7
220;this/inv7;(no ref0:(one File)|(ref0 = (File . (File <: link))));1;(((File <: link) . Trash) = none);5
221;this/inv1;(lone File);1;(no Trash);4
222;this/inv6;((all ref0:(one File),ref1:(one File)|((ref1 in (ref0 . (File <: link))) => (ref0 != ref1))) && (lone (File <: link)));1;(all ref0:(one File)|(lone ref1:(one File)|(ref1 in (ref0 . (File <: link)))));11
223;this/inv7;(no ref0:(one Trash)|(ref0 = (File . (File <: link))));1;(((File <: link) . Trash) = none);5
224;this/inv9;(no ref0:(one (File . (File <: link))),ref1:(one (File . (File <: link)))|((! disj[ref0,ref1]) || (ref0 = ref1)));1;(all ref0:(one (File . (File <: link)))|(none = (ref0 . (File <: link))));12
225;this/inv1;(lone Trash);1;(no Trash);2
226;this/inv7;(no ref0:(one File)|(ref0 = (Trash . (File <: link))));1;(((File <: link) . Trash) = none);5
227;this/inv9;(no (File . (File <: link)));1;(no ((File <: link) . (File <: link)));2
228;this/inv9;(no ref0:(one File),ref1:(one File)|((! disj[ref0,ref1]) || ((ref0 . (File <: link)) = (ref1 . (File <: link)))));1;(all ref0:(one (File . (File <: link)))|(none = (ref0 . (File <: link))));12
229;this/inv9;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in (File . (File <: link)))));1;(all ref0:(one File),ref1:(one File),ref2:(one File)|(((ref0 -> ref1) in (File <: link)) => ((ref1 -> ref2) !in (File <: link))));9
230;this/inv7;((File -> File) = (File -> Trash));1;(no ((File <: link) & (File -> Trash)));7
231;this/inv7;(all ref0:(one File)|((ref0 . (^ (File <: link))) !in Trash));1;(all ref0:(one File)|(no ((ref0 . (^ (File <: link))) & Trash)));5
232;this/inv9;(all ref0:(one File)|(((ref0 . (File <: link)) . (File <: link)) !in (File . (File <: link))));1;(all ref0:(one File)|(no ((ref0 . (File <: link)) . (File <: link))));7
233;this/inv7;((File -> File) = (Trash -> File));1;(((File <: link) . Trash) = none);8
234;this/inv7;(no Trash);1;(no ((File <: link) :> Trash));2
235;this/inv9;(all ref0:(one univ),ref1:(one univ)|(((ref0 -> ref1) in (File <: link)) => ((File . (File <: link)) !in ref1)));1;(all ref0:(one univ),ref1:(one univ)|(((ref0 -> ref1) in (File <: link)) => (no (ref1 . (File <: link)))));9
236;this/inv7;(no ref0:(one Trash)|(none != (ref0 . (File <: link))));1;(no ((File <: link) . Trash));6
237;this/inv2;(Trash = univ);1;(File = Trash);2
238;this/inv7;(none = (Trash . (File <: link)));1;(((File <: link) . Trash) = none);4
239;this/inv6;(some (File . (File <: link)));1;(all ref0:(one File)|(lone (ref0 . (File <: link))));5
240;this/inv6;(some ((File <: link) . File));1;((File <: link) in (File ->lone File));5
241;this/inv6;((File <: link) in iden);1;(((~ (File <: link)) . (File <: link)) in iden);3
242;this/inv9;(all ref0:(one File)|(none != (ref0 . (File <: link))));1;(all ref0:(one (File . (File <: link)))|(none = (ref0 . (File <: link))));4
243;this/inv1;(all ref0:(one Trash)|(no (ref0 . (File <: link))));1;(no Trash);5
244;this/inv3;(one (File - Trash));1;(some Trash);4
245;this/inv3;(lone (File - Trash));1;(some Trash);4
246;this/inv6;((File <: link) in (File ->one File));1;((File <: link) in (File ->lone File));2
247;this/inv7;((File . (File <: link)) !in File);1;(no ((File . (File <: link)) & Trash));5
248;this/inv7;(all ref0:(one File)|((none != (ref0 . (File <: link))) => ((ref0 . (File <: link)) !in Trash)));1;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));9
249;this/inv7;(all ref0:(one (File . (File <: link)))|(ref0 !in File));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));4
250;this/inv6;((File <: link) in (File one->one File));1;((File <: link) in (File ->lone File));2
251;this/inv7;(all ref0:(one File)|((none != (ref0 . (File <: link))) => (ref0 !in Trash)));1;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));7
252;this/inv4;(no Trash);1;(no (Protected & Trash));2
253;this/inv4;(File = (Protected - Trash));1;(Protected = (Protected - Trash));2
254;this/inv7;(0 = 0);1;(((File <: link) . Trash) = none);6
255;this/inv4;(File = (Trash - Protected));1;(Protected = (Protected - Trash));4
256;this/inv7;(0 = 1);1;(((File <: link) . Trash) = none);6
257;this/inv9;(all ref0:(one File)|(no (((File <: link) . ref0) . (File <: link))));1;(no ((File <: link) . (File <: link)));3
258;this/inv4;(all ref0:(one File)|(ref0 = (Protected <: Trash)));1;(none = (Protected & Trash));5
259;this/inv4;(all ref0:(one File)|(ref0 = (Protected :> Trash)));1;(none = (Protected & Trash));5
260;this/inv4;(Protected in File);1;(Protected in (File - Trash));2
261;this/inv7;(all ref0:(one File)|((ref0 !in Trash) <=> (some (ref0 . (File <: link)))));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));7
262;this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) && (ref1 !in Trash)));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref1 !in Trash)));6
263;this/inv2;(all ref0:(one File)|(ref0 !in Trash));1;(! (some ref0:(one File)|(ref0 !in Trash)));3
264;this/inv5;(all ref0:(one File)|(lone (ref0 . (File <: link))));1;(all ref0:(one (File - Protected))|(ref0 in Trash));7
265;this/inv1;(File !in Trash);1;(all ref0:(one File)|(ref0 !in Trash));3
266;this/inv2;(some Trash);1;(File in Trash);3
267;this/inv7;(all ref0:(one File)|((one (ref0 . (File <: link))) => (ref0 !in Trash)));1;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));6
268;this/inv5;(all ref0:(one File)|(ref0 = (Trash - Protected)));1;(all ref0:(one (File - Protected))|(ref0 in Trash));6
269;this/inv5;(lone (Trash - Protected));1;((File - Protected) in Trash);5
270;this/inv7;(all ref0:(one File)|(((ref0 . (File <: link)) !in Trash) => (ref0 !in Trash)));1;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));7
271;this/inv7;(all ref0:(one File)|((some ((File <: link) . ref0)) => (((File <: link) . ref0) !in Trash)));1;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));4
272;this/inv5;(File = (Protected - Trash));1;((File - (Protected - Trash)) = Trash);2
273;this/inv9;(all ref0:(one File),ref1:(one File)|(! ((ref0 . (File <: link)) = ref1)));1;(all ref0:(one (File . (File <: link)))|(none = (ref0 . (File <: link))));6
274;this/inv9;(all ref0:(one File),ref1:(one File)|(! ((ref0 . (File <: link)) = (ref1 . (File <: link)))));1;(all ref0:(one (File . (File <: link)))|(none = (ref0 . (File <: link))));8
275;this/inv2;(all ref0:(one Trash)|(ref0 = File));1;(File = Trash);3
276;this/inv7;(all ref0:(one File)|((some (ref0 . (File <: link))) => (ref0 in Trash)));1;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));6
277;this/inv7;(all ref0:(one File)|(no (((File <: link) . ref0) & Trash)));1;(no ((File . (File <: link)) & Trash));3
278;this/inv7;(no ref0:(one File)|((ref0 in Trash) => (none != (ref0 . (File <: link)))));1;(all ref0:(one File)|((ref0 in Trash) => (no ((File <: link) . ref0))));7
279;this/inv7;(all ref0:(one File)|(some ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (ref0 !in Trash))));1;(all ref0:(one File),ref1:(one File)|((ref0 in (ref1 . (File <: link))) => (ref0 !in Trash)));6
280;this/inv7;(all ref0:(one File)|(some ref1:(one File)|(((ref1 -> ref0) in (File <: link)) => (ref0 !in Trash))));1;(all ref0:(one File),ref1:(one File)|((ref0 in (ref1 . (File <: link))) => (ref0 !in Trash)));8
281;this/inv5;(no (Trash -> Protected));1;(no ((File - Protected) - Trash));6
282;this/inv5;(one (Trash -> Protected));1;(all ref0:(one (File - Protected))|(ref0 in Trash));6
283;this/inv9;((File <: link) !in (^ (File <: link)));1;(no ((File <: link) . (File <: link)));4
284;this/inv5;((all ref0:(one Protected)|(ref0 !in Trash)) && (all ref1:(one File)|(ref1 in Trash)));1;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));9
285;this/inv5;(lone (Trash -> Protected));1;(all ref0:(one (File - Protected))|(ref0 in Trash));6
286;this/inv5;(all ref0:(one File)|((ref0 in Protected) && (ref0 in Trash)));1;(all ref0:(one File)|((ref0 in Protected) || (ref0 in Trash)));4
287;this/inv1;(all ref0:(one File)|((ref0 !in Protected) && (ref0 in Trash)));1;(no ref0:(one File)|(ref0 in Trash));6
288;this/inv5;(some (Trash -> Protected));1;(all ref0:(one (File - Protected))|(ref0 in Trash));6
289;this/inv9;(all ref0:(one File)|(one (ref0 . (File <: link))));1;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));4
290;this/inv5;(all ref0:(one File)|((ref0 !in Trash) && (ref0 in Protected)));1;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));8
291;this/inv5;(all ref0:(one File)|((ref0 in Protected) implies (ref0 !in Trash) else (ref0 in Trash)));1;(all ref0:(one File)|((ref0 !in Protected) => (ref0 in Trash)));6
292;this/inv7;(all ref0:(one File)|((lone (ref0 . (File <: link))) => (ref0 !in Trash)));1;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));6
293;this/inv5;(some (Protected -> Trash));1;((File - Protected) in Trash);5
294;this/inv9;(all ref0:(one File)|(lone ((File <: link) . ref0)));1;(no ((File <: link) . (File <: link)));5
295;this/inv5;((Protected - File) = Trash);1;((File - (Protected - Trash)) = Trash);4
296;this/inv4;(no ref0:(one Protected)|(! (ref0 in Trash)));1;(! (some ref0:(one Protected)|(ref0 in Trash)));2
297;this/inv5;(one (Protected -> Trash));1;((File - Protected) in Trash);5
298;this/inv4;((no Protected) && (no Trash));1;(no (Protected & Trash));5
299;this/inv5;(lone (Protected -> Trash));1;((File - Protected) in Trash);5
300;this/inv5;((File & Trash) = (File - Protected));1;((File - (Protected - Trash)) = Trash);6
301;this/inv5;(no (Protected :> Trash));1;(no ((File - Protected) - Trash));4
302;this/inv5;(no (Protected <: Trash));1;(no ((File - Protected) - Trash));4
303;this/inv5;(no (Trash :> Protected));1;(no ((File - Protected) - Trash));6
304;this/inv5;(no (Trash <: Protected));1;(no ((File - Protected) - Trash));6
305;this/inv1;(all ref0:(one File),ref1:(one Trash)|(! (ref0 in (ref1 . (File <: link)))));1;(! (some ref0:(one File)|(ref0 in Trash)));7
306;this/inv3;((some Trash) && (File = (Protected & Trash)));1;(some Trash);6
307;this/inv7;(all ref0:(one File)|(no ((((File <: link) . ref0) & Trash) + ((ref0 . (File <: link)) & Trash))));1;(all ref0:(one File)|(no ((ref0 . (File <: link)) & Trash)));8
308;this/inv3;((lone Trash) && (File = Trash));1;((some File) && (some Trash));5
309;this/inv9;(((File <: link) . (File <: link)) in (File <: link));1;(no ((File <: link) . (File <: link)));3
310;this/inv3;((some Trash) && (File = Protected));1;(some Trash);4
311;this/inv3;((one Trash) && (File = Protected));1;(some Trash);6
312;this/inv9;(((~ (File <: link)) . (File <: link)) in (File <: link));1;(no ((File <: link) . (File <: link)));4
313;this/inv9;(((~ (File <: link)) . (File <: link)) !in (File <: link));1;(no ((File <: link) . (File <: link)));4
314;this/inv3;(all ref0:(one File)|(some Trash));1;(some Trash);1
315;this/inv5;(some (Protected - Trash));1;(no ((File - Protected) - Trash));4
316;this/inv3;(all ref0:(one File)|(one Trash));1;(some Trash);3
317;this/inv9;(((File <: link) . (~ (File <: link))) !in (File <: link));1;(no ((File <: link) . (File <: link)));4
318;this/inv9;(((File <: link) . (~ (File <: link))) in (File <: link));1;(no ((File <: link) . (File <: link)));4
319;this/inv3;(one ref0:(one File)|(ref0 in Trash));1;(some ref0:(one File)|(ref0 in Trash));2
320;this/inv7;(all ref0:(one File)|(((some ((File <: link) . ref0)) || (some (ref0 . (File <: link)))) => (ref0 !in Trash)));1;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));7
321;this/inv3;((no Protected) && (File = (Protected + Trash)));1;((some File) && (some Trash));7
322;this/inv5;(Protected in (File & Trash));1;((File - Protected) in Trash);4
323;this/inv5;(all ref0:(one File)|((ref0 in Protected) => (! (ref0 in Trash))));1;(all ref0:(one File)|((! (ref0 in Protected)) => (ref0 in Trash)));4
324;this/inv5;(one (Protected & Trash));1;((File - Protected) in Trash);5
325;this/inv7;(((File <: link) . (~ (File <: link))) in iden);1;(no ((File <: link) . Trash));6
326;this/inv7;(all ref0:(one File)|(((some ((File <: link) . ref0)) || (some (ref0 . (File <: link)))) => (ref0 in Trash)));1;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));9
327;this/inv5;((Protected - Trash) = Trash);1;((File - (Protected - Trash)) = Trash);2
328;this/inv1;(iden in iden);1;(Trash in none);4
329;this/inv3;(lone ref0:(one File)|(ref0 in Trash));1;(some ref0:(one File)|(ref0 in Trash));2
330;this/inv7;(no ((((File <: link) . univ) + (univ . (File <: link))) & Trash));1;(no ((File . (File <: link)) & Trash));6
331;this/inv5;(no (File - Protected));1;(no ((File - Protected) - Trash));2
332;this/inv4;(File = Trash);1;(none = (Protected & Trash));4
333;this/inv4;(Trash !in Protected);1;(all ref0:(one Protected)|(ref0 !in Trash));3
334;this/inv7;(all ref0:(one File)|(no ((ref0 . (File <: link)) - Trash)));1;(all ref0:(one File)|(no ((ref0 . (File <: link)) & Trash)));4
335;this/inv4;((no Trash) && (some Protected));1;(no (Protected & Trash));5
336;this/inv7;(all ref0:(one File)|(no (Trash - (ref0 . (File <: link)))));1;(no ((File <: link) . Trash));5
337;this/inv9;(all ref0:(one File)|((ref0 !in (ref0 . (File <: link))) || (ref0 !in (ref0 . (* (File <: link))))));1;(all ref0:(one File)|(no ((ref0 . (File <: link)) . (File <: link))));12
338;this/inv4;(all ref0:(one File)|(! (ref0 in Trash)));1;(! (some ref0:(one Protected)|(ref0 in Trash)));2
339;this/inv7;(all ref0:(one (File - Trash))|(lone (ref0 . (File <: link))));1;(no ((File <: link) . Trash));5
340;this/inv7;(all ref0:(one File)|((no ((File <: link) . ref0)) => (ref0 !in Trash)));1;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));4
341;this/inv7;(all ref0:(one File)|((no ((File <: link) . ref0)) && (ref0 !in Trash)));1;(all ref0:(one Trash)|(no ((File <: link) . ref0)));6
342;this/inv7;(all ref0:(one File)|(((ref0 . (File <: link)) in File) => (ref0 !in Trash)));1;(all ref0:(one File),ref1:(one File)|((ref0 in (ref1 . (File <: link))) => (ref0 !in Trash)));7
343;this/inv7;(all ref0:(one Trash)|((no ((File <: link) . ref0)) && (no (ref0 . (File <: link)))));1;(all ref0:(one Trash)|(no ((File <: link) . ref0)));7
344;this/inv7;(all ref0:(one Trash)|((no (ref0 . (File <: link))) && (no (ref0 . (~ (File <: link))))));1;(no ((File <: link) . Trash));9
345;this/inv9;(all ref0:(one File),ref1:(one File)|(no (((File <: link) . ref0) & ((File <: link) . ref0))));1;(no (((File <: link) . File) & (File . (File <: link))));6
346;this/inv9;(all ref0:(one File),ref1:(one File)|(no (((File <: link) . ref0) & ((File <: link) . ref1))));1;(no (((File <: link) . File) & (File . (File <: link))));6
347;this/inv4;(no ref0:(one File)|((ref0 in File) && (ref0 in Protected)));1;(no ref0:(one File)|((ref0 in Protected) && (ref0 in Trash)));6
348;this/inv4;(all ref0:(one File)|((ref0 !in Trash) <=> (ref0 in Protected)));1;(no ref0:(one Trash)|(ref0 in Protected));6
349;this/inv8;(no ((File <: link) . Trash));1;(no (File . (File <: link)));2
350;this/inv9;(all ref0:(one File)|(no (((File <: link) . ref0) & (ref0 . (File <: link)))));1;(no (((File <: link) . File) & (File . (File <: link))));5
351;this/inv9;(all ref0:(one File)|(lone (ref0 . (^ (File <: link)))));1;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));5
352;this/inv7;(all ref0:(one File)|((ref0 in Trash) => (no (ref0 . (File <: link)))));1;(all ref0:(one File)|((ref0 in Trash) => (no ((File <: link) . ref0))));4
353;this/inv7;(no (File <: link));1;(no ((File <: link) :> Trash));2
354;this/inv7;(all ref0:(one Trash)|(some (ref0 . (File <: link))));1;(no ((File <: link) . Trash));5
355;this/inv9;(all ref0:(one File)|((ref0 . (File <: link)) in Trash));1;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));5
356;this/inv7;(some ref0:(one Trash)|(some (ref0 . (File <: link))));1;(no ((File <: link) . Trash));5
357;this/inv9;(all ref0:(one File)|(((ref0 . (File <: link)) . (File <: link)) in Trash));1;(all ref0:(one File)|(no ((ref0 . (File <: link)) . (File <: link))));5
358;this/inv7;(some ref0:(one Trash)|(no (ref0 . (File <: link))));1;(no ((File <: link) . Trash));3
359;this/inv7;(all ref0:(one File)|((ref0 !in Trash) => ((ref0 . (File <: link)) !in Trash)));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));8
360;this/inv7;(all ref0:(one File)|((ref0 !in Trash) <=> ((ref0 . (File <: link)) !in Trash)));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));8
361;this/inv9;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) + (ref1 . (File <: link)))));1;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (~ (File <: link))))));7
362;this/inv9;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) - (ref1 . (File <: link)))));1;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (~ (File <: link))))));7
363;this/inv9;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) - (ref1 . (^ (File <: link))))));1;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (~ (File <: link))))));8
364;this/inv7;(no ref0:(one Trash)|(some (ref0 . (File <: link))));1;(no ((File <: link) . Trash));5
365;this/inv9;(File = (File . (^ (File <: link))));1;(none = ((File . (File <: link)) . (File <: link)));5
366;this/inv9;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (^ (File <: link))))));1;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (~ (File <: link))))));6
367;this/inv9;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (* (File <: link))))));1;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (~ (File <: link))))));6
368;this/inv9;(File = (File . (* (File <: link))));1;(none = ((File . (File <: link)) . (File <: link)));5
369;this/inv7;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (after ((ref0 -> ref1) in (File <: link)))));1;(all ref0:(one File),ref1:(one File)|(((ref0 -> ref1) in (File <: link)) => (! (ref1 in Trash))));10
370;this/inv9;((File . (File <: link)) = (File . (^ (File <: link))));1;(none = ((File . (File <: link)) . (File <: link)));5
371;this/inv7;(all ref0:(one File)|(some ref1:(one (ref0 . (File <: link)))|(ref1 !in Trash)));1;(all ref0:(one File),ref1:(one (ref0 . (File <: link)))|(ref1 !in Trash));4
372;this/inv9;((File . (File <: link)) = (File . (* (File <: link))));1;(none = ((File . (File <: link)) . (File <: link)));5
373;this/inv9;(((File . (File <: link)) - (File . iden)) = (File . (^ (File <: link))));1;(none = ((File . (File <: link)) . (File <: link)));9
374;this/inv9;(all ref0:(one File)|((ref0 . (* (File <: link))) = (ref0 . (^ (File <: link)))));1;(all ref0:(one (File . (File <: link)))|(none = (ref0 . (File <: link))));8
375;this/inv7;(all ref0:(one Trash)|(no (File <: link)));1;(no ((File <: link) :> Trash));3
376;this/inv7;(all ref0:(one Trash)|(ref0 !in (ref0 . (File <: link))));1;(all ref0:(one (File . (File <: link)))|(ref0 !in Trash));6
377;this/inv7;(all ref0:(one File)|((no (ref0 . (File <: link))) && (ref0 in Trash)));1;(no ref0:(one (File . (File <: link)))|(ref0 in Trash));7
378;this/inv7;((File in Trash) => (no (File . (File <: link))));1;(all ref0:(one File)|((ref0 in Trash) => (no ((File <: link) . ref0))));5
379;this/inv7;(some ref0:(one File)|(some (ref0 . (File <: link))));1;(no ((File <: link) . Trash));5
380;this/inv9;(all ref0:(one File)|(none = (ref0 . (^ (File <: link)))));1;(all ref0:(one (File . (File <: link)))|(none = (ref0 . (File <: link))));3
381;this/inv9;(all ref0:(one (File . (File <: link))),ref1:(one (File . (File <: link)))|(none = (ref0 & ref1)));1;(all ref0:(one (File . (File <: link)))|(none = (ref0 . (File <: link))));7
382;this/inv7;((no ((File . (File <: link)) - Trash)) && (no (Trash . (File <: link))));1;(no ((File . (File <: link)) & Trash));7
383;this/inv7;(all ref0:(one File),ref1:(one Trash)|(no (ref1 . (File <: link))));1;(no ((File <: link) . Trash));4
384;this/inv7;((all ref0:(one File)|(no (ref0 . (File <: link)))) && (File = Trash));1;(all ref0:(one File)|((ref0 . (File <: link)) in (File - Trash)));7
385;this/inv7;((some ((File <: link) . File)) => (((File <: link) . File) !in Trash));1;(all ref0:(one File)|((some ((File <: link) . ref0)) => (ref0 !in Trash)));7
386;this/inv9;(all ref0:(one File),ref1:(one File)|((! disj[ref0,ref1]) || disj[(ref0 . (File <: link)),(ref1 . (File <: link))]));1;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (~ (File <: link))))));13
387;this/inv9;(all ref0:(one File),ref1:(one File)|disj[(ref0 . (File <: link)),(ref1 . (File <: link))]);1;(all ref0:(one File),ref1:(one File)|(no ((ref0 . (File <: link)) & (ref1 . (~ (File <: link))))));8
388;this/inv9;(all ref0:(one File)|disj[ref0,(ref0 . (File <: link))]);1;(all ref0:(one (File . (File <: link)))|(no (ref0 . (File <: link))));5
